"Name","State","embedding","preset","Created","Runtime","task","arch","cities","test_acc_macro","test_acc","test_f1","test_f1_micro","test_kappa","test_miou","test_loss","val_acc_macro","val_acc","val_f1","val_f1_micro","val_kappa","val_miou","val_loss","train_acc_macro","train_oa","train_f1_macro","train_f1_micro","train_kappa","train_loss","train_ce","train_dice","batch_size","dice_weight","in_channels","n_params","num_classes","patch_size","year","max_epochs","epoch","early_stopping_patience","lr","weight_decay","label_source","split_source","test_patches","train_patches","val_patches","data_source","sub_patch_size","head_dropout"
"azure-cloud-209","finished","GeoTessera_v1.1","small","2026-05-18T16:07:17.000Z","1236","patch_classification","resnet34","[""London"",""Nairobi""]","0.7991650700569153","0.9283163547515868","0.738275408744812","0.9283163547515868","0.9149560928344728","","0.30993677756088156","0.8505396842956543","0.9127516746520996","0.8342784643173218","0.9127516746520996","0.897866427898407","","0.4027565092794963","0.9654366970062256","0.980211079120636","0.96532142162323","0.980211079120636","0.9772017002105712","0.08714502718112871","","","64","","128","21685393","17","32","2017","50","36","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
"expert-microwave-208","finished","GeoTessera","large","2026-05-18T15:01:59.000Z","3202","patch_classification","resnet152","[""London"",""Nairobi""]","0.8647733926773071","0.9420654773712158","0.8106979131698608","0.9420654773712158","0.9311915040016174","","0.32884091403361204","0.8537658452987671","0.9272913336753844","0.8441591262817383","0.9272913336753844","0.9148876070976256","","0.38574222323574847","0.9792239665985109","0.9845811128616332","0.9774638414382936","0.9845811128616332","0.9822370409965516","0.06326751750377854","","","64","","128","58570641","17","32","2017","50","43","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"zany-star-207","finished","GeoTessera","medium","2026-05-18T14:14:48.000Z","2211","patch_classification","resnet101","[""London"",""Nairobi""]","0.8910866379737854","0.9423173666000366","0.829025387763977","0.9423173666000366","0.9316162467002868","","0.38052261116663144","0.8651127219200134","0.9326676726341248","0.8549995422363281","0.9326676726341248","0.9212484359741212","","0.35295916316493775","0.9788428544998168","0.9842925667762756","0.9770036935806274","0.9842925667762756","0.9819064736366272","0.06954369338175238","","","64","","128","42926993","17","32","2017","50","40","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"happy-wood-206","finished","GeoTessera","small","2026-05-18T13:41:24.000Z","1509","patch_classification","resnet34","[""London"",""Nairobi""]","0.8165910243988037","0.9277077913284302","0.7482526898384094","0.9277077913284302","0.914367139339447","","0.44062472765319166","0.8391480445861816","0.9285714030265808","0.8341177701950073","0.9285714030265808","0.9163782596588136","","0.36148932984853616","0.9799139499664308","0.9847872853279114","0.9780083894729614","0.9847872853279114","0.9824739694595336","0.0564299158876059","","","64","","128","21685393","17","32","2017","50","44","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"deep-cherry-205","finished","EmbeddedSeamless","large","2026-05-18T10:22:16.000Z","3705","patch_classification","efficientnet_b7","[""London"",""Nairobi""]","0.5633708238601685","0.8282116055488586","0.5797798037528992","0.8282116055488586","0.7927659153938293","","2.302395722932286","0.6137271523475647","0.8253968358039856","0.6269877552986145","0.8253968358039856","0.7915323972702026","","4.440693894220937","0.7180150151252747","0.8691045641899109","0.7735769748687744","0.8691045641899109","0.8472939133644104","0.4231711666352831","","","64","","72","63870241","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"efficient-dragon-204","finished","EmbeddedSeamless","medium","2026-05-18T09:34:38.000Z","2203","patch_classification","efficientnet_b5","[""London"",""Nairobi""]","0.6080900430679321","0.8294710516929626","0.6195429563522339","0.8294710516929626","0.7952139973640442","","98.73193697761448","0.6327104568481445","0.8351254463195801","0.6532955765724182","0.8351254463195801","0.803184986114502","","5.263875791262234","0.749721884727478","0.8787928819656372","0.8060430288314819","0.8787928819656372","0.8586678504943848","0.39176645784547903","","","64","","72","28405425","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"azure-snowball-203","finished","EmbeddedSeamless","small","2026-05-18T09:05:50.000Z","1231","patch_classification","efficientnet_b1","[""London"",""Nairobi""]","0.6097831130027771","0.826448380947113","0.607721209526062","0.826448380947113","0.7926029562950134","","6.1440144929857485","0.6498844623565674","0.8264209032058716","0.6651219129562378","0.8264209032058716","0.7935562133789062","","1.8475733234757377","0.7901946306228638","0.8859251141548157","0.8409192562103271","0.8859251141548157","0.8670400977134705","0.3697792797455058","","","64","","72","6554833","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"rural-planet-199","finished","GeoTessera_v1.1","large","2026-05-18T05:20:30.000Z","3783","patch_classification","efficientnet_b7","[""London"",""Nairobi""]","0.687740683555603","0.8880102038383484","0.6342689990997314","0.8880102038383484","0.8672127723693848","","9.418716606173303","0.6960842609405518","0.8913267850875854","0.6855775117874146","0.8913267850875854","0.8726838231086731","","4.252147790594179","0.8137898445129395","0.9479716420173644","0.8313610553741455","0.9479716420173644","0.9399960041046144","0.18534039961552556","","","64","","128","63902497","17","32","2017","50","50","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
"tough-plant-198","finished","GeoTessera_v1.1","medium","2026-05-18T04:18:09.000Z","2371","patch_classification","efficientnet_b5","[""London"",""Nairobi""]","0.7650059461593628","0.9275510311126708","0.7071608304977417","0.9275510311126708","0.9138001799583436","","0.33028252646627443","0.7722291946411133","0.9099122285842896","0.7634730339050293","0.9099122285842896","0.8943610787391663","","0.41683373679635954","0.9025774002075196","0.9663175940513612","0.9135168194770812","0.9663175940513612","0.961181342601776","0.13328633100620046","","","64","","128","28429617","17","32","2017","50","50","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
"glamorous-yogurt-197","finished","GeoTessera_v1.1","small","2026-05-18T03:35:07.000Z","1753","patch_classification","efficientnet_b1","[""London"",""Nairobi""]","0.7213106155395508","0.918367326259613","0.6843059659004211","0.918367326259613","0.9029547572135924","","0.5676555392302333","0.7787185907363892","0.9212700128555298","0.7754079103469849","0.9212700128555298","0.9076640605926514","","0.33930875147219564","0.9422964453697203","0.9733673930168152","0.9482542276382446","0.9733673930168152","0.9693140387535096","0.11397049904341432","","","64","","128","6570961","17","32","2017","50","50","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
