SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_6464,Shivamogga,IND,India,75.52578596200004,13.890240560000052,75.62742206200005,13.963865467000062
30_208,Posadas,ARG,Argentina,-55.964783119999936,-27.467324118999954,-55.83311569999995,-27.34884032599996
30_10091,Abuja,NGA,Nigeria,7.160890765000033,9.129627637000056,7.2313951420000535,9.235288025000045
30_8805,Fallujah,IRQ,Iraq,43.740982185000064,33.312004037000065,43.82178754800003,33.38128422300008
30_2204,Tianmen,CHN,China,113.0370234400001,30.625634743000035,113.19189584600008,30.694152376000034
30_8238,Katihar,IND,India,87.54067784700004,25.51831383600006,87.59685450700005,25.577193325000053
30_11904,Dili,TLS,Timor-Leste,125.50375845000008,-8.58525712599993,125.6208911870001,-8.53652238999996
30_3708,Kafr Al-Sheikh,EGY,Egypt,30.892575457000078,31.011286608000034,30.979293469000027,31.12280664000008
30_256,Ganja,AZE,Azerbaijan,46.297990619000075,40.62375618600004,46.39656650200004,40.73151830200004
30_8543,Tezpur,IND,India,92.72113619000004,26.613613959000077,92.87087617200007,26.73180377400007
30_9446,Celaya,MEX,Mexico,-100.87757912299998,20.48408306400006,-100.76349825599999,20.567011930000035
30_6593,Lakhimpur,IND,India,80.74670901900004,27.924788008000064,80.81528972900009,27.984142336000048
30_3629,Batna,DZA,Algeria,6.1116836770000305,35.513394979000054,6.2242265470000575,35.58336656200004
30_11941,Manisa,TUR,Turkey,27.306950887000028,38.60603170600007,27.47189521400003,38.64155494200003
30_2947,Yongkang,CHN,China,119.96629731400003,28.858949384000027,120.11134646900007,28.969558239000037
30_8013,Saharsa,IND,India,86.52493985500007,25.854916720000062,86.63228395700008,25.913859487000025
30_1039,Colina De Laranjeiras,BRA,Brazil,-40.29937100799998,-20.268547724999962,-40.20331264999993,-20.12768250299996
30_1336,Hangyulu,CHN,China,109.69920077200004,38.135967160000064,109.81322287500006,38.277752931000066
30_10867,Batangas City,PHL,Philippines,120.92191811100008,13.710306094000032,121.1126025430001,13.808445590000076
30_6050,Bharatpur,IND,India,77.45673528600008,27.196574550000037,77.53913673800008,27.247321025000076
30_8037,Munger,IND,India,86.44791793900004,25.324929677000057,86.50103820300006,25.400587717000064
30_2646,Yanji,CHN,China,129.41260339000007,42.86452713300008,129.55776127100012,42.96460538200006
30_10054,Asaba,NGA,Nigeria,6.639437077000025,6.159270572000025,6.759543569000073,6.248435427000061
30_7575,Eluru,IND,India,81.04124422300004,16.67830184500002,81.15179901900007,16.735857079000027
30_2703,Gaoyou,CHN,China,119.40543381700002,32.74122839300003,119.48320789700006,32.827620198000034
30_1074,Campina Grande,BRA,Brazil,-35.94612192999995,-7.278327099999956,-35.84585380799996,-7.189089919999958
30_10961,Port Moresby,PNG,Papua New Guinea,147.13524404400005,-9.495427094999968,147.22432203300002,-9.42225543099994
30_11205,Ivanovo,RUS,Russia,40.85111526400004,56.943455663000066,41.07048716700007,57.05507489400003
30_6932,Gonda,IND,India,81.92098366800008,27.103562072000045,81.99688058300006,27.17120459800003
30_9644,Taunggyi,MMR,Myanmar,96.95851010100006,20.73292121700007,97.06864706900006,20.824200817000076
30_12233,Mariupol,UKR,Ukraine,37.46910392600006,47.03004430500005,37.69661462900007,47.217050967000034
30_10018,Bida,NGA,Nigeria,5.973105234000059,9.048358577000045,6.043579977000036,9.11337326000006
30_4630,Cardiff,GBR,United Kingdom,-3.27271349199998,51.41656602200004,-3.086174962999962,51.55182536800004
30_9068,Kai [Kofu],JPN,Japan,138.43303570900002,35.54837789900006,138.70933691300002,35.705872244000034
30_3031,Fuqing,CHN,China,119.28727709400005,25.669740466000064,119.44659602400009,25.762314889000038
30_9667,Bago,MMR,Myanmar,96.43864702500008,17.287082319000035,96.52346921500003,17.36940826500006
30_10050,Gusau,NGA,Nigeria,6.628104997000037,12.142123550000065,6.708804181000062,12.215549630000055
30_7773,Hajipur,IND,India,85.17188399600008,25.66132596400007,85.26391839000007,25.720232216000056
30_4666,Bournemouth,GBR,United Kingdom,-2.0447268569999437,50.67524395300006,-1.7784871779999776,50.780880713000045
30_8630,Ardabil,IRN,Iran,48.23668956300003,38.19798568900006,48.34044882400008,38.29548344600005
30_6249,Jalna,IND,India,75.83033547300005,19.812981507000075,75.93640779900005,19.879214495000042
30_8842,As Samawah,IRQ,Iraq,45.24235612200005,31.277300844000024,45.31935502600004,31.354583782000077
30_2222,Haicheng,CHN,China,122.6680908400001,40.81238273100007,122.80152296100005,40.90227534400003
30_12397,Des Moines,USA,United States,-93.85453517499997,41.51476684200003,-93.52347689399994,41.686289990000034
30_185,Corrientes,ARG,Argentina,-58.866029916999935,-27.518117657999937,-58.74502082199996,-27.44193067799995
